time,open,high,low,close,volume
2020-12-10 18:14:00,366.93,366.93,366.93,366.93,315
2020-12-10 18:15:00,366.86,366.86,366.86,366.86,693
2020-12-10 18:16:00,366.86,366.92,366.86,366.92,700
2020-12-10 18:18:00,366.86,366.86,366.81,366.81,967
2020-12-10 18:19:00,366.93,366.93,366.93,366.93,982
2020-12-10 18:20:00,366.93,366.95,366.91,366.95,1649
2020-12-10 18:21:00,366.98,366.98,366.96,366.96,1420
2020-12-10 18:22:00,366.96,367.0,366.96,367.0,587
2020-12-10 18:23:00,366.99,367.0,366.99,367.0,1878
2020-12-10 18:24:00,367.0,367.1,367.0,367.08,1855
2020-12-10 18:25:00,367.1,367.1,367.1,367.1,2293
2020-12-10 18:26:00,367.15,367.16,367.04,367.04,2185
2020-12-10 18:27:00,367.0,367.0,367.0,367.0,455
2020-12-10 18:28:00,366.99,367.0,366.99,366.99,1315
2020-12-10 18:29:00,367.0,367.04,367.0,367.01,1745
2020-12-10 18:31:00,367.06,367.12,367.06,367.12,2117
2020-12-10 18:34:00,367.12,367.3,367.12,367.3,3955
2020-12-10 18:35:00,367.32,367.35,367.29,367.3,2334
2020-12-10 18:36:00,367.35,367.35,367.35,367.35,944
2020-12-10 18:37:00,367.38,367.38,367.35,367.35,585
2020-12-10 18:38:00,367.35,367.35,367.35,367.35,316
2020-12-10 18:39:00,367.33,367.33,367.28,367.3,808
2020-12-10 18:40:00,367.28,367.28,367.27,367.27,405
2020-12-10 18:41:00,367.3,367.33,367.3,367.33,305
2020-12-10 18:42:00,367.33,367.33,367.28,367.3,655
2020-12-10 18:43:00,367.26,367.29,367.26,367.29,406
2020-12-10 18:44:00,367.25,367.25,367.25,367.25,155
2020-12-10 18:48:00,367.28,367.28,367.24,367.24,1308
2020-12-10 18:49:00,367.25,367.25,367.24,367.24,489
2020-12-10 18:51:00,367.23,367.24,367.16,367.16,5519
2020-12-10 18:52:00,367.19,367.19,367.19,367.19,132
2020-12-10 18:53:00,367.2,367.2,367.2,367.2,557
2020-12-10 18:54:00,367.2,367.2,367.19,367.2,631
2020-12-10 18:55:00,367.17,367.17,367.17,367.17,298
2020-12-10 18:56:00,367.18,367.18,367.16,367.16,2172
2020-12-10 18:57:00,367.18,367.21,367.16,367.21,3972
2020-12-10 18:58:00,367.25,367.3,367.25,367.28,3823
2020-12-10 19:00:00,367.22,367.22,367.22,367.22,530
2020-12-10 19:01:00,367.2,367.21,367.18,367.2,1875
2020-12-10 19:02:00,367.32,367.33,367.29,367.33,1230
2020-12-10 19:03:00,367.32,367.33,367.32,367.33,1433
2020-12-10 19:04:00,367.33,367.38,367.33,367.38,2061
2020-12-10 19:05:00,367.36,367.4,367.36,367.4,2463
2020-12-10 19:06:00,367.4,367.45,367.4,367.45,3441
2020-12-10 19:07:00,367.44,367.44,367.36,367.36,448
2020-12-10 19:08:00,367.33,367.33,367.33,367.33,630
2020-12-10 19:09:00,367.3301,367.3301,367.3301,367.3301,225
2020-12-10 19:10:00,367.33,367.33,367.33,367.33,299
2020-12-10 19:11:00,367.32,367.37,367.26,367.37,1418
2020-12-10 19:12:00,367.41,367.41,367.38,367.38,2715
2020-12-10 19:16:00,367.33,367.36,367.33,367.36,327
2020-12-10 19:17:00,367.4,367.4,367.4,367.4,260
2020-12-10 19:21:00,367.27,367.27,367.27,367.27,183
2020-12-10 19:22:00,367.28,367.3,367.27,367.27,1455
2020-12-10 19:23:00,367.2,367.2,367.2,367.2,350
2020-12-10 19:26:00,367.23,367.23,367.23,367.23,571
2020-12-10 19:27:00,367.22,367.22,367.14,367.14,1354
2020-12-10 19:28:00,367.14,367.19,367.13,367.13,300
2020-12-10 19:30:00,367.12,367.12,367.12,367.12,325
2020-12-10 19:32:00,367.15,367.15,367.15,367.15,309
2020-12-10 19:34:00,367.18,367.18,367.13,367.13,1207
2020-12-10 19:37:00,367.18,367.18,367.17,367.17,639
2020-12-10 19:39:00,367.15,367.15,367.15,367.15,152
2020-12-10 19:40:00,367.15,367.15,367.15,367.15,200
2020-12-10 19:41:00,367.18,367.18,367.18,367.18,150
2020-12-10 19:42:00,367.13,367.13,367.13,367.13,100
2020-12-10 19:46:00,367.14,367.14,367.11,367.11,3712
2020-12-10 19:47:00,367.1,367.1,367.05,367.05,2876
2020-12-10 19:48:00,367.05,367.07,367.0,367.07,3664
2020-12-10 19:49:00,367.07,367.07,367.07,367.07,1705
2020-12-10 19:50:00,367.03,367.03,367.03,367.03,425
2020-12-10 19:51:00,367.03,367.04,366.96,366.96,10943
2020-12-10 19:52:00,367.01,367.01,367.01,367.01,884
2020-12-10 19:53:00,367.01,367.03,367.01,367.03,945
2020-12-10 19:54:00,366.96,366.96,366.95,366.95,1786
2020-12-10 19:55:00,366.95,366.95,366.83,366.88,3012
2020-12-10 19:56:00,366.91,366.98,366.91,366.98,1111
2020-12-10 19:58:00,367.03,367.04,367.03,367.04,1849
2020-12-10 19:59:00,367.02,367.03,367.0,367.02,2284
2020-12-10 20:00:00,367.0201,367.09,367.02,367.09,4138
2020-12-11 04:01:00,364.75,364.75,364.67,364.68,7718
2020-12-11 04:02:00,364.78,364.83,364.78,364.83,273
2020-12-11 04:03:00,364.87,364.89,364.78,364.78,2894
2020-12-11 04:04:00,364.88,365.02,364.88,365.02,13075
2020-12-11 04:05:00,365.09,365.11,365.04,365.1,845
2020-12-11 04:06:00,365.15,365.15,365.15,365.15,176
2020-12-11 04:08:00,365.22,365.3,365.22,365.3,1622
2020-12-11 04:09:00,365.23,365.23,365.23,365.23,139
